season,home_team,away_team,home_attack,home_defense,home_midfield,home_overall,home_form,away_attack,away_defense,away_midfield,away_overall,away_form,home_goals,away_goals
1,Nottingham Forest,Brighton,29.21496598639456,26.65873015873016,26.42301587301587,27.407792207792205,0.715,24.21111111111111,29.450476190476188,27.810750476190478,28.065220432900436,0.715,2,2
1,Bournemouth,Aston Villa,32.733333333333334,30.76746031746032,32.32261904761905,31.511688311688314,0.715,32.56402116402117,30.616071428571427,28.32285714285714,30.89177489177489,0.7095022048627041,2,1
1,Nottingham Forest,Brentford,29.21496598639456,26.65873015873016,26.42301587301587,27.407792207792205,0.7277021772699434,24.622619047619047,25.00793650793651,27.03512857142857,25.76718463203463,0.715,1,2
1,Newcastle,Fulham,32.02095238095238,29.796969696969697,28.93253968253968,30.066666666666666,0.715,31.045714285714286,28.49356302857143,28.28452380952381,28.997583143722945,0.715,5,5
1,Arsenal,Leicester,27.040476190476188,29.200720238095236,30.74702380952381,29.17385497835498,0.715,28.437034013605444,30.45739642857143,30.312244897959182,29.768369264069268,0.7105076003958222,1,0
1,Brentford,Wolves,24.622619047619047,25.00793650793651,27.084697782010583,25.787462945454546,0.73,34.04909603174603,29.497619047619043,26.86785714285714,30.260792424242425,0.715,2,2
1,Brighton,Southampton,24.21111111111111,29.450476190476188,27.810750476190478,28.065220432900436,0.7254850904652226,31.93154761904762,29.7889925170068,30.007482993197275,30.637623160173163,0.715,2,3
1,Wolves,Liverpool,34.16020714285714,29.500790476190474,26.86785714285714,30.292825324675324,0.73,29.173809523809524,28.46964285714286,27.473809523809525,28.454112554112555,0.7129589442025217,8,3
1,Tottenham,Bournemouth,27.890476190476193,25.73142857142857,33.849153031746035,28.53418459307359,0.7105946391120427,32.74892380952381,30.76746031746032,32.32261904761905,31.513105627705627,0.73,1,13
1,Tottenham,Everton,27.890476190476193,25.73142857142857,33.849153031746035,28.53418459307359,0.7255946391120426,30.56095238095238,27.871440476190475,24.462962962962962,27.088316017316018,0.7125431090034247,3,0
1,Arsenal,Manchester City,27.040476190476188,29.200720238095236,30.750814880952383,29.17523354978355,0.7231529088622094,33.27619047619048,28.36700680272109,28.459619047619046,29.27642424242424,0.715,0,3
1,Fulham,Wolves,31.045714285714286,28.49356302857143,28.28452380952381,28.997583143722945,0.7267186003377538,34.16020714285714,29.500790476190474,26.86785714285714,30.292825324675324,0.745,1,9
1,Tottenham,Leicester,27.890476190476193,25.73142857142857,33.849153031746035,28.53418459307359,0.7405946391120426,28.437034013605444,30.45739642857143,30.312244897959182,29.768369264069268,0.7206154919080457,4,0
1,Everton,Aston Villa,30.56095238095238,27.871440476190475,24.462962962962962,27.088316017316018,0.7246782165088794,32.56402116402117,30.616071428571427,28.32285714285714,30.89177489177489,0.724502204862704,2,4
1,Tottenham,Burnley,27.890476190476193,25.73142857142857,33.849153031746035,28.53418459307359,0.7542663622604429,30.402380952380952,28.46666666666667,29.817585188571428,29.432668592207794,0.715,6,9
1,Manchester City,Arsenal,33.27619047619048,28.36700680272109,28.459619047619046,29.27642424242424,0.73,27.040476190476188,29.200720238095236,30.750814880952383,29.17523354978355,0.7333459044997338,4,2
1,Southampton,Manchester City,31.93154761904762,29.7889925170068,29.998568707482995,30.634786796536797,0.73,33.28727380952381,28.369127891156463,28.459619047619046,29.279789177489178,0.7420575084729905,6,5
1,Fulham,Brentford,31.045714285714286,28.49356302857143,28.28452380952381,28.997583143722945,0.7376086719098474,24.622619047619047,25.00793650793651,27.084697782010583,25.787462945454546,0.745,2,9
1,Brighton,Newcastle,24.219482539682534,29.450476190476188,27.815073756613756,28.068130606060606,0.7372129675232659,32.02095238095238,29.796969696969697,28.93253968253968,30.066666666666666,0.73,0,4
